policy,eps,seed,fold,lambda,n_cal
"Always-edge, CRC",0.1,0,3,2201.25,14
"Always-edge, CRC",0.15,0,3,1706.25,14
"Always-edge, CRC",0.2,0,3,1605.0,14
"Always-edge, CRC",0.25,0,3,1605.0,14
"Always-edge, CRC",0.3,0,3,1571.25,14
"Always-edge, CRC",0.4,0,3,-71.25,14
"Cloud point, fixed thr. H_p",,0,3,0.0,14
"Cloud point, fixed thr. H_c",,0,3,0.0,14
Anomaly threshold,,0,3,0.0,14
"HERA-v3 (onset-gated, CRC)",0.1,1,0,2347.5,12
"HERA-v3 (onset-gated, CRC)",0.15,1,0,2347.5,12
"HERA-v3 (onset-gated, CRC)",0.2,1,0,1357.5,12
"HERA-v3 (onset-gated, CRC)",0.25,1,0,1346.25,12
"HERA-v3 (onset-gated, CRC)",0.3,1,0,1346.25,12
"HERA-v3 (onset-gated, CRC)",0.4,1,0,603.75,12
"HERA-v3b (onset gate + burn-in, CRC)",0.1,1,0,3000.0,12
"HERA-v3b (onset gate + burn-in, CRC)",0.15,1,0,3000.0,12
"HERA-v3b (onset gate + burn-in, CRC)",0.2,1,0,3000.0,12
"HERA-v3b (onset gate + burn-in, CRC)",0.25,1,0,3000.0,12
"HERA-v3b (onset gate + burn-in, CRC)",0.3,1,0,3000.0,12
"HERA-v3b (onset gate + burn-in, CRC)",0.4,1,0,3000.0,12
"Always-cloud, CRC + burn-in",0.1,1,0,2358.75,12
"Always-cloud, CRC + burn-in",0.15,1,0,2358.75,12
"Always-cloud, CRC + burn-in",0.2,1,0,2122.5,12
"Always-cloud, CRC + burn-in",0.25,1,0,1458.75,12
"Always-cloud, CRC + burn-in",0.3,1,0,1458.75,12
"Always-cloud, CRC + burn-in",0.4,1,0,603.75,12
"Always-cloud, CRC",0.1,1,0,2347.5,12
"Always-cloud, CRC",0.15,1,0,2347.5,12
"Always-cloud, CRC",0.2,1,0,1346.25,12
"Always-cloud, CRC",0.25,1,0,1312.5,12
"Always-cloud, CRC",0.3,1,0,1312.5,12
"Always-cloud, CRC",0.4,1,0,603.75,12
"Always-edge, CRC",0.1,1,0,2032.5,12
"Always-edge, CRC",0.15,1,0,2032.5,12
"Always-edge, CRC",0.2,1,0,1672.5,12
"Always-edge, CRC",0.25,1,0,1627.5,12
"Always-edge, CRC",0.3,1,0,1627.5,12
"Always-edge, CRC",0.4,1,0,1132.5,12
"Cloud point, fixed thr. H_p",,1,0,0.0,12
"Cloud point, fixed thr. H_c",,1,0,0.0,12
Anomaly threshold,,1,0,0.0,12
"HERA-v3 (onset-gated, CRC)",0.1,1,1,2336.25,13
"HERA-v3 (onset-gated, CRC)",0.15,1,1,2246.25,13
"HERA-v3 (onset-gated, CRC)",0.2,1,1,2246.25,13
"HERA-v3 (onset-gated, CRC)",0.25,1,1,1076.25,13
"HERA-v3 (onset-gated, CRC)",0.3,1,1,1076.25,13
"HERA-v3 (onset-gated, CRC)",0.4,1,1,592.5,13
"HERA-v3b (onset gate + burn-in, CRC)",0.1,1,1,3000.0,13
"HERA-v3b (onset gate + burn-in, CRC)",0.15,1,1,3000.0,13
"HERA-v3b (onset gate + burn-in, CRC)",0.2,1,1,3000.0,13
"HERA-v3b (onset gate + burn-in, CRC)",0.25,1,1,3000.0,13
"HERA-v3b (onset gate + burn-in, CRC)",0.3,1,1,3000.0,13
"HERA-v3b (onset gate + burn-in, CRC)",0.4,1,1,3000.0,13
"Always-cloud, CRC + burn-in",0.1,1,1,2347.5,13
"Always-cloud, CRC + burn-in",0.15,1,1,2302.5,13
"Always-cloud, CRC + burn-in",0.2,1,1,2302.5,13
"Always-cloud, CRC + burn-in",0.25,1,1,1740.0,13
"Always-cloud, CRC + burn-in",0.3,1,1,1076.25,13
"Always-cloud, CRC + burn-in",0.4,1,1,221.25,13
"Always-cloud, CRC",0.1,1,1,2302.5,13
"Always-cloud, CRC",0.15,1,1,2246.25,13
"Always-cloud, CRC",0.2,1,1,2246.25,13
"Always-cloud, CRC",0.25,1,1,1076.25,13
"Always-cloud, CRC",0.3,1,1,997.5,13
"Always-cloud, CRC",0.4,1,1,221.25,13
"Always-edge, CRC",0.1,1,1,1987.5,13
"Always-edge, CRC",0.15,1,1,1965.0,13
"Always-edge, CRC",0.2,1,1,1965.0,13
"Always-edge, CRC",0.25,1,1,1762.5,13
"Always-edge, CRC",0.3,1,1,1616.25,13
"Always-edge, CRC",0.4,1,1,1537.5,13
"Cloud point, fixed thr. H_p",,1,1,0.0,13
"Cloud point, fixed thr. H_c",,1,1,0.0,13
Anomaly threshold,,1,1,0.0,13
"HERA-v3 (onset-gated, CRC)",0.1,1,2,2358.75,12
"HERA-v3 (onset-gated, CRC)",0.15,1,2,2358.75,12
"HERA-v3 (onset-gated, CRC)",0.2,1,2,2178.75,12
"HERA-v3 (onset-gated, CRC)",0.25,1,2,2145.0,12
"HERA-v3 (onset-gated, CRC)",0.3,1,2,2145.0,12
"HERA-v3 (onset-gated, CRC)",0.4,1,2,795.0,12
"HERA-v3b (onset gate + burn-in, CRC)",0.1,1,2,3000.0,12
"HERA-v3b (onset gate + burn-in, CRC)",0.15,1,2,3000.0,12
"HERA-v3b (onset gate + burn-in, CRC)",0.2,1,2,3000.0,12
"HERA-v3b (onset gate + burn-in, CRC)",0.25,1,2,3000.0,12
"HERA-v3b (onset gate + burn-in, CRC)",0.3,1,2,3000.0,12
"HERA-v3b (onset gate + burn-in, CRC)",0.4,1,2,3000.0,12
"Always-cloud, CRC + burn-in",0.1,1,2,2381.25,12
"Always-cloud, CRC + burn-in",0.15,1,2,2381.25,12
"Always-cloud, CRC + burn-in",0.2,1,2,2358.75,12
"Always-cloud, CRC + burn-in",0.25,1,2,2178.75,12
"Always-cloud, CRC + burn-in",0.3,1,2,2178.75,12
"Always-cloud, CRC + burn-in",0.4,1,2,795.0,12
"Always-cloud, CRC",0.1,1,2,2358.75,12
"Always-cloud, CRC",0.15,1,2,2358.75,12
"Always-cloud, CRC",0.2,1,2,2178.75,12
"Always-cloud, CRC",0.25,1,2,2021.25,12
"Always-cloud, CRC",0.3,1,2,2021.25,12
"Always-cloud, CRC",0.4,1,2,795.0,12
"Always-edge, CRC",0.1,1,2,2043.75,12
"Always-edge, CRC",0.15,1,2,2043.75,12
"Always-edge, CRC",0.2,1,2,1616.25,12
"Always-edge, CRC",0.25,1,2,1582.5,12
"Always-edge, CRC",0.3,1,2,1582.5,12
"Always-edge, CRC",0.4,1,2,1301.25,12
"Cloud point, fixed thr. H_p",,1,2,0.0,12
"Cloud point, fixed thr. H_c",,1,2,0.0,12
Anomaly threshold,,1,2,0.0,12
"HERA-v3 (onset-gated, CRC)",0.1,1,3,2347.5,14
"HERA-v3 (onset-gated, CRC)",0.15,1,3,1897.5,14
"HERA-v3 (onset-gated, CRC)",0.2,1,3,1301.25,14
"HERA-v3 (onset-gated, CRC)",0.25,1,3,1301.25,14
"HERA-v3 (onset-gated, CRC)",0.3,1,3,986.25,14
"HERA-v3 (onset-gated, CRC)",0.4,1,3,952.5,14
"HERA-v3b (onset gate + burn-in, CRC)",0.1,1,3,3000.0,14
"HERA-v3b (onset gate + burn-in, CRC)",0.15,1,3,3000.0,14
"HERA-v3b (onset gate + burn-in, CRC)",0.2,1,3,3000.0,14
"HERA-v3b (onset gate + burn-in, CRC)",0.25,1,3,3000.0,14
"HERA-v3b (onset gate + burn-in, CRC)",0.3,1,3,3000.0,14
"HERA-v3b (onset gate + burn-in, CRC)",0.4,1,3,3000.0,14
"Always-cloud, CRC + burn-in",0.1,1,3,2381.25,14
"Always-cloud, CRC + burn-in",0.15,1,3,1897.5,14
"Always-cloud, CRC + burn-in",0.2,1,3,1301.25,14
"Always-cloud, CRC + burn-in",0.25,1,3,1301.25,14
"Always-cloud, CRC + burn-in",0.3,1,3,952.5,14
"Always-cloud, CRC + burn-in",0.4,1,3,626.25,14
"Always-cloud, CRC",0.1,1,3,2347.5,14
"Always-cloud, CRC",0.15,1,3,1897.5,14
"Always-cloud, CRC",0.2,1,3,1301.25,14
"Always-cloud, CRC",0.25,1,3,1301.25,14
"Always-cloud, CRC",0.3,1,3,952.5,14
"Always-cloud, CRC",0.4,1,3,626.25,14
"Always-edge, CRC",0.1,1,3,2347.5,14
"Always-edge, CRC",0.15,1,3,2178.75,14
"Always-edge, CRC",0.2,1,3,2066.25,14
"Always-edge, CRC",0.25,1,3,2066.25,14
"Always-edge, CRC",0.3,1,3,2043.75,14
"Always-edge, CRC",0.4,1,3,1672.5,14
"Cloud point, fixed thr. H_p",,1,3,0.0,14
"Cloud point, fixed thr. H_c",,1,3,0.0,14
Anomaly threshold,,1,3,0.0,14
"HERA-v3 (onset-gated, CRC)",0.1,2,0,2302.5,12
"HERA-v3 (onset-gated, CRC)",0.15,2,0,2302.5,12
"HERA-v3 (onset-gated, CRC)",0.2,2,0,862.5,12
"HERA-v3 (onset-gated, CRC)",0.25,2,0,817.5,12
"HERA-v3 (onset-gated, CRC)",0.3,2,0,817.5,12
"HERA-v3 (onset-gated, CRC)",0.4,2,0,390.0,12
"HERA-v3b (onset gate + burn-in, CRC)",0.1,2,0,3000.0,12
"HERA-v3b (onset gate + burn-in, CRC)",0.15,2,0,3000.0,12
"HERA-v3b (onset gate + burn-in, CRC)",0.2,2,0,3000.0,12
"HERA-v3b (onset gate + burn-in, CRC)",0.25,2,0,3000.0,12
"HERA-v3b (onset gate + burn-in, CRC)",0.3,2,0,3000.0,12
"HERA-v3b (onset gate + burn-in, CRC)",0.4,2,0,3000.0,12
"Always-cloud, CRC + burn-in",0.1,2,0,2302.5,12
"Always-cloud, CRC + burn-in",0.15,2,0,2302.5,12
"Always-cloud, CRC + burn-in",0.2,2,0,862.5,12
"Always-cloud, CRC + burn-in",0.25,2,0,817.5,12
"Always-cloud, CRC + burn-in",0.3,2,0,817.5,12
"Always-cloud, CRC + burn-in",0.4,2,0,390.0,12
"Always-cloud, CRC",0.1,2,0,2302.5,12
"Always-cloud, CRC",0.15,2,0,2302.5,12
"Always-cloud, CRC",0.2,2,0,862.5,12
"Always-cloud, CRC",0.25,2,0,817.5,12
"Always-cloud, CRC",0.3,2,0,817.5,12
"Always-cloud, CRC",0.4,2,0,390.0,12
"Always-edge, CRC",0.1,2,0,1796.25,12
"Always-edge, CRC",0.15,2,0,1796.25,12
"Always-edge, CRC",0.2,2,0,1740.0,12
"Always-edge, CRC",0.25,2,0,1593.75,12
"Always-edge, CRC",0.3,2,0,1593.75,12
"Always-edge, CRC",0.4,2,0,1425.0,12
"Cloud point, fixed thr. H_p",,2,0,0.0,12
"Cloud point, fixed thr. H_c",,2,0,0.0,12
Anomaly threshold,,2,0,0.0,12
"HERA-v3 (onset-gated, CRC)",0.1,2,1,2347.5,13
"HERA-v3 (onset-gated, CRC)",0.15,2,1,2347.5,13
"HERA-v3 (onset-gated, CRC)",0.2,2,1,2347.5,13
"HERA-v3 (onset-gated, CRC)",0.25,2,1,1852.5,13
"HERA-v3 (onset-gated, CRC)",0.3,2,1,738.75,13
"HERA-v3 (onset-gated, CRC)",0.4,2,1,637.5,13
"HERA-v3b (onset gate + burn-in, CRC)",0.1,2,1,3000.0,13
"HERA-v3b (onset gate + burn-in, CRC)",0.15,2,1,3000.0,13
"HERA-v3b (onset gate + burn-in, CRC)",0.2,2,1,3000.0,13
"HERA-v3b (onset gate + burn-in, CRC)",0.25,2,1,3000.0,13
"HERA-v3b (onset gate + burn-in, CRC)",0.3,2,1,3000.0,13
"HERA-v3b (onset gate + burn-in, CRC)",0.4,2,1,3000.0,13
"Always-cloud, CRC + burn-in",0.1,2,1,2392.5,13
"Always-cloud, CRC + burn-in",0.15,2,1,2347.5,13
"Always-cloud, CRC + burn-in",0.2,2,1,2347.5,13
"Always-cloud, CRC + burn-in",0.25,2,1,1852.5,13
"Always-cloud, CRC + burn-in",0.3,2,1,637.5,13
"Always-cloud, CRC + burn-in",0.4,2,1,198.75,13
"Always-cloud, CRC",0.1,2,1,2347.5,13
"Always-cloud, CRC",0.15,2,1,2336.25,13
"Always-cloud, CRC",0.2,2,1,2336.25,13
"Always-cloud, CRC",0.25,2,1,1852.5,13
"Always-cloud, CRC",0.3,2,1,637.5,13
"Always-cloud, CRC",0.4,2,1,198.75,13
"Always-edge, CRC",0.1,2,1,1942.5,13
"Always-edge, CRC",0.15,2,1,1807.5,13
"Always-edge, CRC",0.2,2,1,1807.5,13
"Always-edge, CRC",0.25,2,1,1751.25,13
"Always-edge, CRC",0.3,2,1,1548.75,13
"Always-edge, CRC",0.4,2,1,1492.5,13
"Cloud point, fixed thr. H_p",,2,1,0.0,13
"Cloud point, fixed thr. H_c",,2,1,0.0,13
Anomaly threshold,,2,1,0.0,13
"HERA-v3 (onset-gated, CRC)",0.1,2,2,2246.25,12
"HERA-v3 (onset-gated, CRC)",0.15,2,2,2246.25,12
"HERA-v3 (onset-gated, CRC)",0.2,2,2,1492.5,12
"HERA-v3 (onset-gated, CRC)",0.25,2,2,1425.0,12
"HERA-v3 (onset-gated, CRC)",0.3,2,2,1425.0,12
"HERA-v3 (onset-gated, CRC)",0.4,2,2,840.0,12
"HERA-v3b (onset gate + burn-in, CRC)",0.1,2,2,3000.0,12
"HERA-v3b (onset gate + burn-in, CRC)",0.15,2,2,3000.0,12
"HERA-v3b (onset gate + burn-in, CRC)",0.2,2,2,3000.0,12
"HERA-v3b (onset gate + burn-in, CRC)",0.25,2,2,3000.0,12
"HERA-v3b (onset gate + burn-in, CRC)",0.3,2,2,3000.0,12
"HERA-v3b (onset gate + burn-in, CRC)",0.4,2,2,3000.0,12
"Always-cloud, CRC + burn-in",0.1,2,2,2302.5,12
"Always-cloud, CRC + burn-in",0.15,2,2,2302.5,12
"Always-cloud, CRC + burn-in",0.2,2,2,2246.25,12
"Always-cloud, CRC + burn-in",0.25,2,2,1492.5,12
"Always-cloud, CRC + burn-in",0.3,2,2,1492.5,12
"Always-cloud, CRC + burn-in",0.4,2,2,1087.5,12
"Always-cloud, CRC",0.1,2,2,2246.25,12
"Always-cloud, CRC",0.15,2,2,2246.25,12
"Always-cloud, CRC",0.2,2,2,1492.5,12
"Always-cloud, CRC",0.25,2,2,1425.0,12
"Always-cloud, CRC",0.3,2,2,1425.0,12
"Always-cloud, CRC",0.4,2,2,840.0,12
"Always-edge, CRC",0.1,2,2,1807.5,12
"Always-edge, CRC",0.15,2,2,1807.5,12
"Always-edge, CRC",0.2,2,2,1638.75,12
"Always-edge, CRC",0.25,2,2,1616.25,12
"Always-edge, CRC",0.3,2,2,1616.25,12
"Always-edge, CRC",0.4,2,2,1368.75,12
"Cloud point, fixed thr. H_p",,2,2,0.0,12
"Cloud point, fixed thr. H_c",,2,2,0.0,12
Anomaly threshold,,2,2,0.0,12
"HERA-v3 (onset-gated, CRC)",0.1,2,3,2336.25,14
"HERA-v3 (onset-gated, CRC)",0.15,2,3,2246.25,14
"HERA-v3 (onset-gated, CRC)",0.2,2,3,1447.5,14
"HERA-v3 (onset-gated, CRC)",0.25,2,3,1447.5,14
"HERA-v3 (onset-gated, CRC)",0.3,2,3,795.0,14
"HERA-v3 (onset-gated, CRC)",0.4,2,3,581.25,14
"HERA-v3b (onset gate + burn-in, CRC)",0.1,2,3,3000.0,14
"HERA-v3b (onset gate + burn-in, CRC)",0.15,2,3,3000.0,14
"HERA-v3b (onset gate + burn-in, CRC)",0.2,2,3,3000.0,14
"HERA-v3b (onset gate + burn-in, CRC)",0.25,2,3,3000.0,14
"HERA-v3b (onset gate + burn-in, CRC)",0.3,2,3,3000.0,14
"HERA-v3b (onset gate + burn-in, CRC)",0.4,2,3,3000.0,14
"Always-cloud, CRC + burn-in",0.1,2,3,2392.5,14
"Always-cloud, CRC + burn-in",0.15,2,3,2370.0,14
"Always-cloud, CRC + burn-in",0.2,2,3,1447.5,14
"Always-cloud, CRC + burn-in",0.25,2,3,1447.5,14
"Always-cloud, CRC + burn-in",0.3,2,3,648.75,14
"Always-cloud, CRC + burn-in",0.4,2,3,356.25,14
"Always-cloud, CRC",0.1,2,3,2336.25,14
"Always-cloud, CRC",0.15,2,3,2190.0,14
"Always-cloud, CRC",0.2,2,3,1447.5,14
"Always-cloud, CRC",0.25,2,3,1447.5,14
"Always-cloud, CRC",0.3,2,3,648.75,14
"Always-cloud, CRC",0.4,2,3,356.25,14
"Always-edge, CRC",0.1,2,3,1875.0,14
"Always-edge, CRC",0.15,2,3,1785.0,14
"Always-edge, CRC",0.2,2,3,1785.0,14
"Always-edge, CRC",0.25,2,3,1785.0,14
"Always-edge, CRC",0.3,2,3,1548.75,14
"Always-edge, CRC",0.4,2,3,1436.25,14
"Cloud point, fixed thr. H_p",,2,3,0.0,14
"Cloud point, fixed thr. H_c",,2,3,0.0,14
Anomaly threshold,,2,3,0.0,14
